timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist,device_timestamp
2025-11-27 15:46:47.413,1,2.136374,3.473986,1,4.486097,3.345485,4.027678,8.856036,9.154908,4.747343,9541
2025-11-27 15:46:47.413,1,2.120321,3.467767,0.176733,4.462112,3.34957,4.046879,8.857516,9.171194,4.757856,9566
2025-11-27 15:46:47.459,1,2.11607,3.463681,1,4.451704,3.349647,4.055629,8.852457,9.166283,4.767086,9591
2025-11-27 15:46:47.461,1,2.111292,3.467735,0.182683,4.449805,3.343495,4.034491,8.867152,9.160384,4.778419,9616
2025-11-27 15:46:47.608,1,2.107855,3.468301,1,4.450396,3.351125,4.050117,8.864108,9.154752,4.789323,9641
2025-11-27 15:46:47.608,1,2.109058,3.468573,0.180854,4.453963,3.353966,4.050904,8.862771,9.156575,4.785395,9666
2025-11-27 15:46:47.609,1,2.111943,3.470006,1,4.465027,3.357214,4.05773,8.857587,9.148678,4.779227,9691
2025-11-27 15:46:47.609,1,2.120875,3.474359,0.18372,4.470542,3.370101,4.039235,8.858725,9.133204,4.78374,9716
2025-11-27 15:46:47.609,1,2.119702,3.482118,1,4.480018,3.363576,4.035175,8.861682,9.119074,4.793469,9741
2025-11-27 15:46:47.609,1,2.127739,3.488079,0.185335,4.491544,3.370917,4.036154,8.857774,9.094602,4.801052,9766
2025-11-27 15:46:47.658,1,2.130196,3.485478,1,4.493278,3.378708,4.05659,8.846445,9.084849,4.801783,9791
2025-11-27 15:46:48.116,1,2.133202,3.47784,0.181532,4.499807,3.393064,4.0808,0.0,9.024442,4.815814,10254
2025-11-27 15:46:48.221,1,2.110354,3.45898,1,4.463477,3.394932,4.070673,8.977403,8.994968,4.8195,10278
2025-11-27 15:46:48.221,1,2.10753,3.437353,0.202051,4.42481,3.398459,4.066924,8.95831,8.959574,4.823409,10303
2025-11-27 15:46:48.221,1,2.088769,3.418542,0.006597,4.389499,3.400172,4.084711,9.003488,8.925778,4.809887,10328
2025-11-27 15:46:48.221,1,2.078885,3.408632,1,4.364052,3.411861,4.064403,9.056297,8.902548,4.796243,10353
2025-11-27 15:46:48.221,1,2.042576,3.406187,0.238072,4.338009,3.423042,4.04547,9.083991,8.860628,4.891227,10378
2025-11-27 15:46:48.279,1,2.019955,3.405699,0.04543,4.316678,3.422436,4.051425,9.10868,8.817606,4.937291,10403
2025-11-27 15:46:48.279,1,2.023236,3.402127,0.004109,4.294877,3.44785,4.058136,9.121707,8.732306,4.930735,10432
2025-11-27 15:46:48.329,1,2.028467,3.393625,1,4.278923,3.450052,4.033338,9.114256,8.730029,4.922519,10457
2025-11-27 15:46:48.329,1,2.047483,3.378274,0.260045,4.265455,3.448663,4.032651,9.06496,8.728255,4.904727,10482
2025-11-27 15:46:48.380,1,2.066998,3.365933,0.064511,4.244604,3.457934,4.049718,9.047254,8.717553,4.874294,10507
2025-11-27 15:46:48.380,1,2.071332,3.352794,0.012308,4.222143,3.456876,4.080622,9.027242,8.733028,4.850578,10532
2025-11-27 15:46:48.625,1,2.073064,3.337325,1,4.200496,3.462264,4.107811,9.024072,8.751301,4.827954,10557
2025-11-27 15:46:48.625,1,2.074046,3.309317,0.252239,4.183627,3.457143,4.093794,9.036098,8.760364,4.791685,10582
2025-11-27 15:46:48.625,1,2.049886,3.307983,0.057919,4.162198,3.449011,4.088048,9.053753,8.759143,4.910454,10607
2025-11-27 15:46:48.625,1,2.035111,3.322259,0.01952,4.148603,3.44578,4.107386,9.065441,8.766475,4.989551,10632
2025-11-27 15:46:48.625,1,2.025041,3.327964,0.002676,4.135939,3.442227,4.114172,9.076621,8.767012,5.032553,10657
2025-11-27 15:46:48.625,1,2.015805,3.333775,1,4.127104,3.433245,4.101859,9.093616,8.762253,5.030859,10682
2025-11-27 15:46:48.625,1,2.009043,3.328454,0.281599,4.117114,3.449025,4.114007,9.094436,8.756474,4.998476,10707
2025-11-27 15:46:48.733,1,2.017153,3.32993,0.0858,4.143497,3.446826,4.086197,9.104394,8.748863,4.96185,10732
2025-11-27 15:46:48.733,1,2.026231,3.33001,0.035521,4.167165,3.456503,4.077986,9.10387,8.747074,4.938484,10757
2025-11-27 15:46:48.733,1,2.033075,3.327726,0.003355,4.209424,3.446441,4.105757,9.09932,8.771566,4.92131,10782
2025-11-27 15:46:48.735,1,2.039181,3.33234,1,4.239251,3.44999,4.097371,9.086455,8.770979,4.909997,10807
2025-11-27 15:46:48.735,1,2.053827,3.344561,0.259073,4.270779,3.452756,4.087729,9.097139,8.776734,4.893933,10832
2025-11-27 15:46:48.735,1,2.065501,3.347043,0.052033,4.29742,3.460088,4.09057,9.097181,8.793645,4.874166,10857
2025-11-27 15:46:48.735,1,2.068466,3.34898,1,4.313004,3.472016,4.108316,9.092037,8.801646,4.882577,10882
2025-11-27 15:46:48.835,1,2.059107,3.357775,0.234108,4.331361,3.465779,4.123181,9.095277,8.808917,4.889132,10907
2025-11-27 15:46:48.835,1,2.071044,3.354722,0.033939,4.34256,3.470237,4.111985,9.098836,8.813548,4.851786,10932
2025-11-27 15:46:48.835,1,2.077123,3.358915,1,4.351288,3.468534,4.083587,9.086079,8.829582,4.836143,10957
2025-11-27 15:46:48.835,1,2.083287,3.363688,0.236046,4.345665,3.470314,4.080094,9.069923,8.843113,4.828095,10982
2025-11-27 15:46:49.269,1,2.161089,3.241487,1,4.330927,3.477913,4.085655,9.056298,8.844338,0.0,11445
2025-11-27 15:46:49.317,1,2.103491,3.330842,0.216364,4.353612,3.489012,4.074458,9.061213,8.935378,4.820787,11470
2025-11-27 15:46:49.368,1,2.082092,3.357463,0.031092,4.354724,3.492485,4.100936,9.066077,8.968014,4.839943,11495
2025-11-27 15:46:49.368,1,2.076221,3.371607,1,4.351449,3.494156,4.063586,9.059514,8.985164,4.860049,11520
2025-11-27 15:46:49.421,1,2.070224,3.39022,0.253352,4.346825,3.494422,4.054152,9.058541,8.990245,4.87054,11545
2025-11-27 15:46:49.421,1,2.076365,3.386095,0.060942,4.348399,3.493595,4.062333,9.061925,8.960034,4.868361,11570
2025-11-27 15:46:49.421,1,2.077968,3.385434,0.008274,4.358945,3.498127,4.092523,9.053171,8.934421,4.875982,11595
2025-11-27 15:46:49.558,1,2.081849,3.38683,1,4.359915,3.495446,4.075668,9.045314,8.941381,4.880886,11620
2025-11-27 15:46:49.559,1,2.103524,3.380704,0.257721,4.366883,3.48818,4.095667,9.027801,8.940593,4.876424,11645
2025-11-27 15:46:49.559,1,2.102533,3.384226,0.054069,4.378527,3.479411,4.112288,9.022436,8.968971,4.879159,11670
2025-11-27 15:46:49.560,1,2.09688,3.391716,0.001404,4.372069,3.47879,4.110744,9.005831,8.980732,4.884398,11695
2025-11-27 15:46:49.560,1,2.093022,3.395831,1,4.368072,3.493838,4.081584,9.009458,8.985756,4.881231,11720
2025-11-27 15:46:49.605,1,2.090325,3.410712,0.25622,4.369098,3.498317,4.066108,8.999858,8.973104,4.896367,11745
2025-11-27 15:46:49.605,1,2.092449,3.410475,0.051564,4.377147,3.499736,4.094429,8.991342,8.955996,4.894701,11770
2025-11-27 15:46:49.654,1,2.099263,3.404855,1,4.379277,3.509125,4.115465,8.983669,8.929202,4.890296,11795
2025-11-27 15:46:49.654,1,2.105518,3.402044,0.239714,4.388186,3.504018,4.102866,8.992187,8.919712,4.875473,11820
2025-11-27 15:46:49.702,1,2.118493,3.395366,0.037647,4.395128,3.496931,4.096153,8.992612,8.900927,4.853568,11845
2025-11-27 15:46:49.702,1,2.122073,3.39735,1,4.402609,3.504869,4.079532,8.995014,8.884215,4.839602,11870
2025-11-27 15:46:49.755,1,2.128573,3.39658,0.237138,4.404297,3.51209,4.086253,8.988603,8.877405,4.849429,11895
2025-11-27 15:46:49.755,1,2.133888,3.397822,0.041124,4.403542,3.528072,4.058356,9.002244,8.872098,4.848803,11920
2025-11-27 15:46:49.862,1,2.132483,3.395938,1,4.406059,3.533279,4.062502,9.011839,8.866927,4.846244,11945
2025-11-27 15:46:49.865,1,2.12356,3.40374,0.244022,4.414234,3.528018,4.08023,9.028636,8.873252,4.869101,11970
2025-11-27 15:46:49.865,1,2.111454,3.401469,0.046584,4.408179,3.531166,4.10647,9.042761,8.87611,4.887949,11995
2025-11-27 15:46:49.865,1,2.10181,3.399357,1,4.402425,3.525336,4.131061,9.04445,8.891798,4.906778,12020
2025-11-27 15:46:49.963,1,2.098783,3.395597,0.244378,4.400012,3.518721,4.12848,9.040588,8.88435,4.925594,12045
2025-11-27 15:46:49.963,1,2.086927,3.395277,0.049478,4.400202,3.505283,4.111973,9.057253,8.883723,4.912301,12070
2025-11-27 15:46:49.963,1,2.092395,3.387866,0.001711,4.392067,3.495846,4.114641,9.058849,8.88427,4.883303,12095
2025-11-27 15:46:49.963,1,2.095914,3.379207,1,4.387798,3.484349,4.129145,9.053881,8.879519,4.860704,12120
2025-11-27 15:46:50.063,1,2.09361,3.356915,0.239339,4.384471,3.480567,4.138378,9.060364,8.871675,4.819278,12145
