timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 12:52:41.342,1,5.848945,1.385032,6.363175,7.186113,5.458302,6.324389,0,0
2025-11-25 12:52:41.396,1,5.841154,1.378011,6.377686,7.181015,5.496318,6.333685,0,0
2025-11-25 12:52:41.454,1,5.831983,1.429222,6.385875,7.177623,5.44599,6.344074,0,0
2025-11-25 12:52:41.515,1,5.851293,1.40881,6.36941,7.193691,5.429788,6.321851,0,0
2025-11-25 12:52:41.561,1,5.861629,1.390547,6.364157,7.203475,5.44469,6.320037,0,0
2025-11-25 12:52:41.614,1,5.879101,1.39331,6.35878,7.22407,5.407281,6.312629,0,0
2025-11-25 12:52:41.674,1,5.918643,1.344833,6.37264,7.266572,5.452008,6.289876,0,0
2025-11-25 12:52:41.723,1,5.973439,1.339338,6.403461,7.321463,5.433447,6.260207,0,0
2025-11-25 12:52:41.779,1,6.01558,1.32159,6.416973,7.375305,5.435514,6.254174,0,0
2025-11-25 12:52:41.832,1,6.057162,1.262675,6.426183,7.419662,5.478705,6.233524,0,0
2025-11-25 12:52:41.884,1,6.071418,1.24687,6.41572,7.43373,5.469805,6.234945,0,0
2025-11-25 12:52:41.945,1,6.068439,1.212324,6.384279,7.436806,5.485092,6.249504,0,0
2025-11-25 12:52:41.995,1,6.015332,1.179246,6.357245,7.395,5.541009,6.29913,0,0
2025-11-25 12:52:42.049,1,5.952098,1.222546,6.357918,7.350964,5.54731,6.355425,0,0
2025-11-25 12:52:42.113,1,5.891402,1.320372,6.368056,7.315417,5.497531,6.410381,0,0
2025-11-25 12:52:43.087,1,5.843206,1.357231,6.381102,7.286954,5.521467,6.459871,0,0
2025-11-25 12:52:43.150,1,5.845046,1.320945,6.347481,7.285522,5.517992,6.443742,0,0
2025-11-25 12:52:43.150,1,5.848464,1.285714,6.325884,7.285079,5.539944,6.437271,0,0
2025-11-25 12:52:43.202,1,5.650619,1.441372,6.331958,7.286713,5.544269,6.792018,0,0
2025-11-25 12:52:43.258,1,5.560774,1.517775,6.327064,7.308374,5.537066,6.931178,0,0
2025-11-25 12:52:43.313,1,5.56932,1.528629,6.332503,7.311674,5.521184,6.907388,0,0
2025-11-25 12:52:43.372,1,5.635013,1.479659,6.341272,7.316954,5.530597,6.801786,0,0
2025-11-25 12:52:43.419,1,5.698615,1.427919,6.35058,7.315239,5.545561,6.700015,0,0
2025-11-25 12:52:43.474,1,5.725806,1.3583,6.351242,7.318246,5.603587,6.671799,0,0
2025-11-25 12:52:43.530,1,5.752055,1.353948,6.361918,7.325608,5.586372,6.634009,0,0
